,Unnamed: 0,os_dialog_id,emotion,confidence,os_dialog
558113,558113,3558000,afraid,0.90255326,"- So word is you 're getting a baby .
- She 's scared , you know ."
654078,654078,7010140,afraid,0.8734183000000001,"- Why wouldn 't she marry me , Sally ?
- She was afraid ."
672362,672362,8694585,afraid,0.8677135,"- Can I stay with him tonight ? No . But ... the hospital keeps apartments across the street ... and I can arrange for you to stay in one of those , if you 'd like .
- You treated him ? I was the admitting surgeon , yes . Your husband had a buildup of blood on his brain , a haematoma . That 's what caused his intercranial pressure rise . We fixed that , we hope . He has more surgery ahead of him . Tomorrow , he 'll be in the OR again , with Dr. Freeman .
- Dr. Freeman 's an orthopod . He has multiple fractures of his lower extremities . Both his right and his left tibia ... his right malleolus , and his pelvis is fractured .
- Is he in pain ?
- He 's receiving medication , which relieves the pain .
- Morphine ?
- I 'm afraid that your husband 's spine ... and skull were also severely damaged ."
672536,672536,8776325,afraid,0.8676523000000002,"- Can I stay with him tonight ? No . But ... the hospital keeps apartments across the street ... and I can arrange for you to stay in one of those , if you 'd like .
- You treated him ? l was the admitting surgeon , yes . Your husband had a buildup of blood on his brain , a haematoma . That 's what caused his intercranial pressure rise . We fixed that , we hope . He has more surgery ahead of him . Tomorrow , he 'll be in the OR again , with Dr. Freeman .
- Dr. Freeman 's an orthopod . He has multiple fractures of his lower extremities . Both his right and his left tibia ... his right malleolus , and his pelvis is fractured .
- is he in pain ?
- He 's receiving medication , which relieves the pain .
- Morphine ?
- I 'm afraid that your husband 's spine ... and skull were also severely damaged ."
673055,673055,2077670,afraid,0.8674965,"- Why didn 't you tell him it had sleeping pills ?
- I was afraid Why did you make him drink ?
- He was afraid"
677468,677468,1920202,afraid,0.86612165,"- Frederic , I 'm here to stop you from freeing the woman ... who brought so much pain to your father and me . You , and your father and I lived nearby . You didn 't know that she was also living with us . She was locked up , ... hidden away for eternity at the age of 16 . At night , she would escape . One evening , you met her in these ruins .
- I knew it . You lied to me .
- I knew that meeting really happened , that she was real . Like vampires , like the living dead .
- Vampirism is a terrible affliction . The little girl infected several people . Our relatives , our friends . I had to reveal my secret to the town mayor , ... especially after the death of your father . But it was already too late . Four other young girls had become monsters too . When night fell on the fields , ... they would attack and kill anyone who approached the ruins .
- Sometimes , we could hear their victims ' screams from afar ."
679692,679692,7332670,afraid,0.86539197,"- I told you you 'd be cold .
- Your lips are purple !
- You 're shivering ."
690958,690958,2638327,afraid,0.86179394,"- Oh , Leopoldo . We haven 't laughed together for such a long time . Like before , when I was a little girl . You impressed me with your motorbikes and hunting riffles . Can you remember the night of the fire ?
- You saved me . I was just wearing a shirt and was a bit ashamed .
- You were mostly afraid ."
691823,691823,4434379,afraid,0.86151165,"- Opening-night jitters ?
- He 's scared , Harold . That 's what it is ."
693354,693354,1551971,afraid,0.861057,"- God on high Hear my prayer In my need You have always been there
- He is young He 's afraid"
